tv,label,link,gold_any,fired,bar,wt2_at_confirm,wt2_now,rsi,close,last_bar
COINBASE:TRUMPUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ATRUMPUSD,False,False,,,-53.63303131449188,36.66607810981295,2.165,2026-09-09 18:00
COINBASE:ETHFIUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AETHFIUSD,False,False,,,-12.001671883399814,50.16569238740927,0.61,2026-09-09 18:00
COINBASE:CRVUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ACRVUSD,False,False,,,-25.916314516839222,45.47552864496082,0.3602,2026-09-09 18:00
COINBASE:APTUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AAPTUSD,False,False,,,25.765954774729227,54.91320825111439,0.6632,2026-09-09 18:00
COINBASE:FLRUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AFLRUSD,False,False,,,-75.43668524817997,25.545213534488695,0.006362,2026-09-09 18:00
COINBASE:AEROUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AAEROUSD,False,False,,,-82.53494037670468,32.310092193700854,0.56385,2026-09-09 18:00
COINBASE:STXUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASTXUSD,False,False,,,32.064216608869515,51.2074684210014,0.2734,2026-09-09 18:00
COINBASE:PENGUUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3APENGUUSD,False,False,,,-57.65690281582877,33.589341105721104,0.00787,2026-09-09 18:00
COINBASE:SPXUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASPXUSD,False,False,,,-54.76409376338311,39.57823723789757,0.5155,2026-09-09 18:00
COINBASE:VIRTUALUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AVIRTUALUSD,False,False,,,-64.13952340419918,38.65601470961104,0.6901,2026-09-09 18:00
COINBASE:PYTHUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3APYTHUSD,False,False,,,74.45029910409727,57.95246249608383,0.05567,2026-09-09 18:00
COINBASE:FETUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AFETUSD,False,False,,,-45.4184672659128,42.33404144683473,0.17479,2026-09-09 18:00
COINBASE:ZROUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AZROUSD,False,False,,,21.46111522309378,61.05390529103409,1.1679,2026-09-09 18:00
COINBASE:TIAUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ATIAUSD,False,False,,,-70.43678994691034,37.131603999446,0.3952,2026-09-09 18:00
COINBASE:PENDLEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3APENDLEUSD,False,False,,,-60.45268737354073,37.741775975155264,2.0661,2026-09-09 18:00
COINBASE:RAYUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ARAYUSD,False,False,,,59.320359399307726,60.96536835140918,1.38,2026-09-09 18:00
COINBASE:SEIUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASEIUSD,False,False,,,-43.327280307287715,41.89600632178026,0.04902,2026-09-09 18:00
COINBASE:LDOUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ALDOUSD,False,False,,,-42.83822447473231,43.82117056369066,0.38338,2026-09-09 18:00
COINBASE:GNOUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AGNOUSD,False,False,,,-39.62581538551127,39.59791520990243,114.72,2026-09-09 17:00
COINBASE:MONUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AMONUSD,False,False,,,-10.553290170671069,47.99390203741467,0.025901,2026-09-09 18:00
COINBASE:XTZUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AXTZUSD,False,False,,,58.10419973556744,60.37627837495869,0.2646,2026-09-09 18:00
COINBASE:KITEUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3AKITEUSD,False,False,,,34.46332272472336,49.443256932320025,0.11474,2026-09-09 18:00
COINBASE:SYRUPUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ASYRUPUSD,False,False,,,22.348973353925956,54.84241337860101,0.2294,2026-09-09 18:00
COINBASE:BONKUSD,crypto,https://www.tradingview.com/chart/?symbol=COINBASE%3ABONKUSD,False,False,,,-55.06432119302955,37.6979039628385,2.99e-06,2026-09-09 18:00
